CHA  0.004  S    7.34   -3.425   -1.126    0.377    1.228    1.218    1.367    1.398    1.435    1.468    1.327    1.415    1.526    1.638    1.965    2.254    2.425
CHA  0.004  S    7.38   -4.004   -1.731   -0.189    0.718    0.707    0.877    0.932    1.006    1.100    1.009    1.118    0.949    1.137    1.489    1.809    2.007
CHA  0.004  S    7.41   -4.337   -2.071   -0.511    0.419    0.408    0.591    0.662    0.758    0.890    0.834    0.958    0.623    0.843    1.212    1.551    1.765
CHA  0.004  S    7.45   -3.946   -1.681   -0.161    0.729    0.718    0.884    0.936    1.002    1.084    0.983    1.088    0.981    1.146    1.494    1.809    2.000
CHA  0.004  S    7.48   -3.185   -0.909    0.510    1.295    1.286    1.404    1.409    1.411    1.401    1.233    1.310    1.674    1.692    1.986    2.246    2.392
CHA  0.004  S    7.51   -2.077    0.179    1.317    1.889    1.883    1.929    1.875    1.810    1.723    1.514    1.574    2.533    2.255    2.475    2.674    2.772
CHA  0.004  S    7.53   -2.001    0.264    1.424    2.003    1.997    2.040    1.982    1.911    1.813    1.593    1.650    2.635    2.368    2.584    2.776    2.873
CHA  0.004  S    7.56   -1.909    0.348    1.499    2.071    2.066    2.111    2.058    1.993    1.906    1.698    1.758    2.711    2.437    2.657    2.856    2.956
CHA  0.004  S    7.58   -1.845    0.397    1.526    2.086    2.080    2.121    2.063    1.994    1.902    1.694    1.754    2.743    2.449    2.664    2.859    2.956
CHA  0.004  S    7.60   -1.782    0.441    1.550    2.097    2.092    2.128    2.067    1.995    1.900    1.692    1.752    2.770    2.459    2.670    2.861    2.956
CHA  0.004  S    7.62   -1.719    0.491    1.581    2.116    2.111    2.144    2.082    2.007    1.912    1.705    1.765    2.804    2.476    2.684    2.874    2.967
CHA  0.004  S    7.64   -1.652    0.540    1.606    2.127    2.122    2.150    2.084    2.006    1.906    1.697    1.756    2.833    2.485    2.688    2.874    2.964
CHA  0.004  S    7.66   -1.583    0.586    1.627    2.136    2.131    2.153    2.083    1.999    1.892    1.678    1.736    2.858    2.492    2.689    2.869    2.956
CHA  0.004  S    7.68   -1.508    0.643    1.660    2.155    2.150    2.170    2.098    2.012    1.904    1.691    1.749    2.896    2.509    2.704    2.884    2.968
CHA  0.004  S    7.70   -1.437    0.699    1.699    2.186    2.181    2.204    2.138    2.058    1.962    1.761    1.822    2.937    2.541    2.742    2.928    3.016
CHA  0.004  S    7.74   -1.295    0.834    1.846    2.336    2.331    2.354    2.288    2.211    2.113    1.910    1.971    3.081    2.691    2.893    3.079    3.169
CHA  0.004  S    7.78   -1.161    0.936    1.903    2.370    2.366    2.380    2.306    2.219    2.112    1.901    1.960    3.145    2.721    2.913    3.092    3.176
CHA  0.004  S    7.81   -1.059    1.009    1.943    2.394    2.390    2.397    2.319    2.226    2.112    1.897    1.955    3.190    2.742    2.927    3.101    3.181
CHA  0.004  S    7.85   -0.911    1.137    2.055    2.494    2.490    2.490    2.406    2.307    2.184    1.962    2.017    3.304    2.839    3.017    3.184    3.261
CHA  0.004  S    7.87   -0.844    1.191    2.094    2.525    2.521    2.519    2.434    2.334    2.210    1.990    2.046    3.346    2.869    3.045    3.211    3.288
CHA  0.004  S    7.90   -0.733    1.267    2.136    2.548    2.544    2.537    2.447    2.342    2.213    1.989    2.043    3.393    2.889    3.060    3.222    3.295
CHA  0.004  S    7.93   -0.630    1.345    2.172    2.559    2.555    2.536    2.437    2.321    2.180    1.948    1.999    3.436    2.895    3.053    3.205    3.272
CHA  0.004  S    7.95   -0.556    1.400    2.202    2.575    2.572    2.546    2.442    2.322    2.175    1.940    1.990    3.470    2.909    3.061    3.208    3.271
CHA  0.004  S    7.98   -0.441    1.481    2.260    2.625    2.622    2.604    2.509    2.399    2.264    2.040    2.093    3.531    2.961    3.124    3.281    3.349
CHA  0.004  S    8.00   -0.366    1.557    2.343    2.705    2.702    2.675    2.571    2.451    2.302    2.066    2.116    3.612    3.038    3.190    3.336    3.400
CHA  0.004  S    8.30    0.767    2.405    2.907    3.085    3.088    2.865    2.504    2.059    1.440    0.753    0.631    4.213    3.346    3.236    3.080    2.950
CHA  0.004  S    8.48    1.575    3.001    3.293    3.326    3.335    2.914    2.404    1.892    1.241    0.572    0.474    4.620    3.507    3.182    2.928    2.779
CHA  0.004  S    8.60    2.155    3.387    3.518    3.512    3.521    3.106    2.629    2.156    1.558    0.937    0.856    4.856    3.691    3.391    3.175    3.050
CHA  0.004  S    8.70    2.624    3.715    3.775    3.763    3.773    3.367    2.913    2.466    1.899    1.305    1.235    5.114    3.944    3.665    3.473    3.365
CHA  0.004  S    8.78    3.049    4.001    3.930    3.899    3.910    3.465    2.992    2.538    1.968    1.376    1.307    5.269    4.062    3.750    3.546    3.436
CHA  0.004  S    8.85    3.465    4.257    4.046    4.001    4.013    3.536    3.047    2.588    2.019    1.431    1.364    5.385    4.148    3.809    3.596    3.487
CHA  0.004  S    8.90    3.762    4.449    4.173    4.113    4.127    3.623    3.119    2.650    2.075    1.483    1.416    5.511    4.249    3.886    3.661    3.548
