log_age	Z	fraccion_M_star
7.41	0.05	0.6623615384295449
7.45	0.05	0.6538978399868696
7.48	0.05	0.6473400482447765
7.51	0.05	0.6403119570109342
7.53	0.05	0.6356176579543027
7.56	0.05	0.6282472352399999
7.58	0.05	0.6231208144554364
7.60	0.05	0.6177669855777013
7.62	0.05	0.6134273576763704
7.64	0.05	0.6091576138914515
7.66	0.05	0.6049746621956709
7.68	0.05	0.6004633732965656
7.70	0.05	0.596039285792288
7.74	0.05	0.5864582636201056
7.78	0.05	0.5794681666974895
7.81	0.05	0.573289690737339
7.85	0.05	0.5647179454725995
7.87	0.05	0.5602963663061873
7.90	0.05	0.5533779992137208
7.93	0.05	0.5461560545024466
7.95	0.05	0.5412074011940142
7.98	0.05	0.5346514815194142
8.00	0.05	0.5307503697094155
8.30	0.05	0.46700679772612375
8.48	0.05	0.4285309499199968
8.60	0.05	0.3961544298137317
8.70	0.05	0.3734795555068753
8.78	0.05	0.35410601893001253
8.85	0.05	0.33645384080074914
8.90	0.05	0.32452938853916846
8.95	0.05	0.31197797719445775
9.00	0.05	0.2987537247671894
9.18	0.05	0.242826678946558
9.30	0.05	0.20399838492503544
9.40	0.05	0.17325775340213664
9.48	0.05	0.15207386098286835
9.54	0.05	0.1359134419515761
9.60	0.05	0.11752504296292428
9.65	0.05	0.10494571875863379
9.70	0.05	0.09212234585372654
9.74	0.05	0.07928974540649762
9.78	0.05	0.06868246141369323
9.81	0.05	0.06069730426651505
9.85	0.05	0.049707612041343496
9.90	0.05	0.03812698168391284
9.95	0.05	0.024295910154553974
10.00	0.05	0.010576106831203027
10.04	0.05	0.002277313222890614
