log_age	Z	fraccion_M_star
7.74	0.02	0.7441766164132895
7.78	0.02	0.7386082252082236
7.81	0.02	0.7342429141881189
7.85	0.02	0.7281508483791138
7.87	0.02	0.7249923068738884
7.90	0.02	0.7218037798467883
7.93	0.02	0.717736530407666
7.95	0.02	0.7149591269142316
7.98	0.02	0.710631348180042
8.00	0.02	0.7076665813985914
8.30	0.02	0.6643990848462809
8.48	0.02	0.6413726100102037
8.60	0.02	0.6239776621772415
8.70	0.02	0.6080821110356479
8.78	0.02	0.5967746482239267
8.85	0.02	0.5860919052928938
8.90	0.02	0.5779844616622352
8.95	0.02	0.5706247970881844
9.00	0.02	0.5622796309763499
9.18	0.02	0.5155641630808109
9.30	0.02	0.49298534584365467
9.40	0.02	0.4769088562501696
9.48	0.02	0.46445271865195203
9.54	0.02	0.45534718589479123
9.60	0.02	0.4538015190592993
9.65	0.02	0.4454163726656681
9.70	0.02	0.4377183923281558
9.74	0.02	0.43174052165551685
9.78	0.02	0.4255549333145959
9.81	0.02	0.4213585145715245
9.85	0.02	0.41598441048345675
9.90	0.02	0.40903626742683646
9.95	0.02	0.4019052429290188
10.00	0.02	0.39471288043325736
10.04	0.02	0.38875632998148885
10.08	0.02	0.38260889126349296
10.11	0.02	0.37809453035816676
10.12	0.02	0.3766694511735121
10.13	0.02	0.37523578282818937
10.14	0.02	0.3737980243299755
10.15	0.02	0.3723490015905662
10.18	0.02	0.3679495590991678
5.00	0.05	0.9949843981849278
5.48	0.05	0.9930842503649006
5.70	0.05	0.9911841209691683
5.85	0.05	0.9894537255574956
6.00	0.05	0.9866984364197667
6.10	0.05	0.9837400007431027
6.18	0.05	0.9815429408223123
6.24	0.05	0.9791855730730629
6.30	0.05	0.9753145142800566
6.35	0.05	0.9722783595224301
6.40	0.05	0.9666143290354348
6.44	0.05	0.9574834173624557
6.48	0.05	0.950837622505272
6.51	0.05	0.9446774726843369
6.54	0.05	0.9355751860380161
6.57	0.05	0.9290004318659741
6.60	0.05	0.9238990814164855
6.63	0.05	0.919298761252254
6.65	0.05	0.9165254135030293
6.68	0.05	0.9127135102023799
6.70	0.05	0.9110245613197506
6.72	0.05	0.9100289647535674
6.74	0.05	0.9092827917019292
6.76	0.05	0.902578923605177
6.78	0.05	0.8977545666177658
6.81	0.05	0.8848926074981522
6.85	0.05	0.869637530865164
6.86	0.05	0.8686189776893272
6.88	0.05	0.8645536082646733
6.89	0.05	0.8625236962935616
6.90	0.05	0.8615088235474465
6.92	0.05	0.8574478899043664
6.93	0.05	0.8554148164532752
6.94	0.05	0.8533787464524882
6.95	0.05	0.8513389586432321
